number,type,answer_num,description,answers,pic_path,correct,weight,subject,accesebility
29,2,6,"Метрика топологии ВС, которая характеризует устойчивость сети к повреждениям (то есть ее способность обеспечивать функционирование ВС при отказе компонентов сети) - называется ...",архитектура;диаметр сети;связность сети;количество узлов;количество связей;ширина бисекции;,no,1:0;2:0;3:100;4:0;5:0;6:0;,6,10,0
30,3,0,На рисунке приведена   ...   топология,полносвязная;,polnosv.bmp,0,4,10,0
31,2,5,"Количество информации, которое может быть передано по сети в единицу времени, называется ...",Задержка сети;Связность сети;Ширина бисекции;Диаметр сети.;Пропускная способность сети;,no,1:0;2:0;3:0;4:0;5:100;,5,10,0
32,5,6,Сопоставьте характеристики и соответствующие им параметры  коммутационной сети.,"Число связей;суммарное количество каналов между всеми узлами сети;Диаметр сети;мин. путь между двумя наиболее удаленными друг от друга узлами сети;Порядок узла;число узлов сети, с которыми данный узел связан напрямую;Пропускная способность сети;кол-во информации, которое можно передать по сети в единицу времени;Размер сети;количество узлов, объединяемых сетью;Задержка сети;время, требуемое на прохождение сообщения через сеть;",no,112233445566,10,10,0
32,2,7,В каких сетях обеспечивается соединение между любыми парами входных и выходных терминалов без перенастройки коммутирующих элементов сети,блокирующих;замкнутых;разомкнутых;неблокирующих;сетях с самомаршрутизацией;прямых;блокирующих с реконфигурацией;,no,1:0;2:0;3:0;4:100;5:0;6:0;7:0;,4,20,0
34,1,7,Какие сети  относятся к блокирующим:,Бенеша;Петри;Баньян;Омега;n-куб;Баттерфляй.;Густафсона.;,no,3;4;5;6;,7,20,0
36,1,7,Какие топологии систолических систем наиболее распространены?,баттерфляй;звездообразная;древовидная;прямоугольная;линейная.;гексагональная;Бенеша.;,no,4;5;6;,6,6,0
37,2,4,К какому классу ВС по классификации Флинна относятся ассоциативные системы?,ОКОД;ОКМД;МКМД;МКОД;,no,1:0;2:100;3:0;4:0;,5,5,0
38,3,0,"Системы, состоящие из массива однородных ПЭ, совмещающие  в себе свойства конвейерной и матричной обработки, получили название  ...  системы",систолическая;систолические;систолических;,no,0,6,6,0
39,1,9,Основными модулями транспьютера (Т800) являются,ВЗУ;графический процессор;центральный процессор.;статическое ОЗУ;несколько каналов связи.;интерфейс с внешней памятью;сопроцессор с ПТ;операционный конвейер.;Блок УВВ.;,no,3;4;5;6;7;8;,8,6,0
40,2,4,К какому классу ВС по классификации Флинна можно отнести векторно-конвейерные ВС?,ОКОД;МКМД;ОКМД;МКОД;,no,1:0;2:0;3:50;4:50;,4,17,1
41,3,0,Как называется язык программирования для транспьютеров?,оккам;occam;ОККАМ;язык Оккам;Оккам;Occam;OCCAM;,no,0,5,6,0
40,1,8,Укажите программные особенности транспьютера:,Работа параллельной программы зависит от числа транспьютеров;Вычислительный стек состоит из 6 регистров;Используется только ОС Windows 9X/2000;Работа параллельной программы не зависит от числа транспьютеров;При прерывании одного процесса другим сохраняется дубликат вычислительного стека;Для активных и пассивных процессов разные очереди;Для всех процессов выделяется определенный квант времени;Команды могут обрабатывать 64-разрядные данные;,no,4;5;6;7;8;,8,6,0
41,2,5,Структура какой системы изображена на рисунке:,векторно-конвейерная система;матричная система;систолическая система;система устойчивая к сбоям и отказам;полносвязная система;,рис1.bmp,1:0;2:0;3:0;4:100;5:0;,5,3,0
44,5,4,Сопоставьте HA-системы и требования к ним:,"Системы высокой готовности;избыточные прогр. и аппар. средства, время восстановления неск. часов;Системы устойчивые к отказам;избыт. апп-ра для всех функциональных блоков, время восст. менее 1 с;Системы непрерывной готовности;работает корректно, отсутствует любое время простоя;Системы, устойчивые к стихийным бедствиям;возможность рестарта или продолжения операции на другой площадке;",no,11223344,6,11,0
45,2,5,Основная единица измерения надежности –...,время восстановления;интенсивность отказов;время ремонта;среднее время наработки на отказ;коэффициент готовности.;,no,1:0;2:50;3:0;4:100;5:0;,5,11,0
46,4,4,"Расположите системы по степени их готовности, начиная с наименьшей","системы высокой готовности;системы, эластичные к отказам;системы устойчивые к отказам;системы непрерывной готовности;",no,1234,5,11,0
45,1,8,"Отметьте общие требования, предъявляемые к современным компьютерным системам",транзитивность;рефлексивность;отношение производительность/стоимость;надежность и отказоустойчивость;масштабируемость;низкая потребляемая мощность.;низкий шум.;совместимость и мобильность программного обеспечения;,no,3;4;5;8;,4,1,0
46,2,7,Какая система  изображена на рисунке (классификация «по структуре сети связи»):,триплексная;с общей шиной;дуплексная;матричная;гомогенная;периферийная;гетерогенная (ассиметричная);,рис2.bmp,1:0;2:0;3:0;4:0;5:0;6:0;7:100;,6,3,0
49,2,5,Для определения производительности  ВПВС  в  MFLOPS  лучше всего использовать пакет ...,тест DHRYSTONE;тест SiSoft Sandra;тест PassMark PerformanceTest;пакет UNPACK;Ливерморские циклы;,no,1:0;2:0;3:0;4:0;5:100;,6,11,0
50,2,5,Какие ВС достигают наибольшей производительности на определенном узком классе задач?,универсальные;проблемно-ориентированные;реального времени;специализированные;высокоскоростные.;,no,1:0;2:0;3:0;4:100;5:0;,4,1,0
51,3,0,Теоретически  достижимая максимальная производительность вычислительной системы получила название  ...  производительность,пиковая;пиковая производительность;пиковой;,no,0,5,11,0
52,1,8,Структура каждого векторного процессора системы  Cray C90 содержит:,счетчик инструкций;регистры базы;регистр рабочей области;скалярные регистры;векторные регистры;адресные регистры;регистр длины вектора;регистр маски вектора;,no,3;5;6;7;8;,6,17,1
51,3,0,Сколько процессоров имеет Cray C90 в максимальной комплектации?,16;шестнадцать;,no,0,6,4,0
54,1,6,Какие преимущества имеют SMP-системы по сравнению с однопроцессорными?,отсутствие конфликтов по доступу к памяти;повышенная производительность;высокая готовность;низкая цена.;неограниченная масштабируемость.;низкое энергопотребление.;,no,2;3;,5,7,0
55,2,5,На рисунке изображена архитектура с …,многопротовой ПМ;централизованным управлением;общей шиной.;коммутатором типа «кроссбар» (коммутационной матрицей);распределённой памятью;,рис4.bmp,1:0;2:0;3:0;4:100;5:0;,5,10,0
56,2,4,Проблема когерентности – это проблема …,обеспечения изолированности кэш-памяти;разрешения конфликтов по доступу к основной памяти;проблема объема кэш-памяти;обеспечения согласованности данных в кэш-памяти;,no,1:0;2:0;3:0;4:100;,6,7,0
57,1,5,Основные способы решения проблемы когерентности:,совместно используемая кэш-память;некэшируемые данные;широковещательная запись;использование двухуровневого кэша;уменьшение размера кэш-памяти;,no,1;2;3;,4,7,0
58,5,6,На рисунке представлена классификация ВС по структуре сети связи. (выполните правильное сопоставление) ,"а);Системы с общей шиной;б);Многошинные - многовходовые системы;в);Система, устойчивая к сбоям и отказам;г);Асимметричная (неоднородная) система;д);Матричные системы;е);Системы с перекрестной коммутацией;",9.bmp,112233445566,6,10,0
59,5,8,На рисунке представлена структура векторно-конвейерной ВС. Укажите правильно основные узлы и блоки:,а);Память данных и программ;б);Память второго уровня;в);УУ чтением/записью и адресный генератор;г);УУ векторными операциями;д);Скалярный процессор;е);Процессор обработки команд;ё);Векторный процессор;з);Локальная память;,10.bmp,1122334455667788,10,4,0
60,1,11,"Выделите факторы, снижающие пропускную способность операционных конвейеров",Конфликты доступа к памяти;Большой объем внешней памяти;Медленный скалярный процессор;Небольшой объем ПЗУ;Скалярная обработка;Стартовое время конвейера;Зависимости по данным;Зависимости по управлению;Реализация условных операторов;Механизм адресации и недостаточно эффективная пропускная способность памяти;Малая длина вектора;,no,2;5;6;7;8;9;10;11;,10,4,0
59,3,0,"Режим векторно-конвейерной системы, позволяющий запускать векторную команду, содержащую вектор данных еще формирующийся на другом  конвейере, называется  режимом    ...    векторов. ",сцепления векторов;зацепления;сцепления;со сцеплением;зацепления векторов;с зацеплением;,no,0,6,4,0
62,2,6,"Укажите обобщенную структуру матричной ВС, приведенную на рисунке",б);в);г);д);е);а);,11.bmp,1:0;2:0;3:0;4:0;5:0;6:80;,6,5,0
63,2,6,"Укажите обобщенную структуру ассоциативной ВС, приведенную на рисунке",а);б);в);г);д);е);,11.bmp,1:0;2:0;3:0;4:0;5:0;6:100;,5,5,0
64,2,4,В чем разница между NUMA и ccNUMA системами,в ccNUMA кроме ОП появилась еще и локальная для каждого ПЭ кэш-память;в ссNUMA время доступа ко всем модулям ОП одинаковое;в ccNUMA аппаратными средствами решается проблема согласования кэш-памяти;в ccNUMA кэш-память впервые объединена в единое адресное пространство.;,no,1:0;2:0;3:100;4:0;,5,7,0
65,2,4,"Кластер Беовульф – это ... архитектура, которая может использоваться для параллельных вычислений..",мультипроцессорная;многодоменная;многосерверная;мультикомпьютерная;,no,1:0;2:0;3:50;4:100;,5,9,0
66,3,0,"Группа совместно  работающих вычислительных узлов, собранных  из доступных ""коммерческих"" компонентов, составляющая единый вычислительный ресурс, получила название   ...  вычислительная система",кластерная;кластэрная;,no,0,5,9,0
65,2,5,"В потоковых ВС узловые операции (вершины) выполняются, когда ...","готовы все данные и есть ресурсы;готовы все данные;поступил запрос и бит сранения равен 1;готовы все данные и поступил запрос на результат операции.;готовы все данные, есть ресурсы и сработала спусковая функция;",no,1:75;2:50;3:0;4:0;5:100;,6,1,0
66,2,5,В запросных ВС узловые операции (вершины) выполняются ...,когда по дугам в узел поступила вся необходимая операция;по запросу на результат операции;когда произошла редукция вычислений;когда произведены все подстановки переменных.;когда готовы данные и поступил запрос на результат оператора;,no,1:0;2:50;3:0;4:0;5:100;,5,17,0
67,2,4,Программная система PVM предназначена для ...,создания ПО для кластеров типа Беовульф;программной эмуляции работы кластеров;создания ПО для векторно-конвейерных ВС;программирования гетерогенных ВС;,no,1:25;2:0;3:0;4:95;,5,21,0
68,1,5,Структурно PVM состоит из:,"серверной части;клиентской части;специализированной ОС;библиотек программирования с заголовочными файлами;программы-демона, называемой PVMD;",no,4;5;,5,21,0
69,1,5,Основные особенности программного инструментария MPI  по сравнению с PVM:,"гетерогенность сети;работает только в сети ЭВМ;высокое быстродействие;гомогенность сети;может работать как на одной ЭВМ, так и на комплексе ЭВМ;",no,3;4;5;,5,21,0
72,2,4,Главная цель использования спецификации PVM — это повышение скорости вычислений за счет ...,матричной обработки;ускорения выполнения последовательного кода;параллельного выполнения;векторной обработки.;,no,1:0;2:0;3:100;4:0;,4,21,1
71,1,4,По сравнению с  MPI  в  PVM:,не должно быть различных по архитектуре ЭВМ;неизменяемая  топология сети.;возможно динамическое порождение процессов;интерфейс программиста проще;,no,2;3;4;,5,21,0
74,2,5,Одним из недостатков спецификаций PVM и MPI является:,неудобный интерфес пользователя;невозможность применения в MPP-системах;с ростом кол-ва узлов стоимость  ПО растёт быстрее;введение команд на русском языке;с ростом кол-ва узлов рост производительности вычислительных систем замедляется;,no,1:0;2:0;3:25;4:0;5:85;,5,21,1
75,2,4,Что такое метакомпьютинг?,широкое применение MPP -- систем;проектирование ВПВС специальной вычислительной системой;вычислительные задачи огромной сложности;использование комп-х сетей для создания масштабной распределенной выч-ой инфраструктуры;,no,1:0;2:0;3:0;4:100;,5,9,0
76,1,7,Особенности метакомпьютера:,небольшая стоимость;статическая конфирурация;однородная структура;огромные ресурсы;динамическая конфигурация;распределенная система;большая латентность информации;,no,4;5;6;7;,6,9,0
77,1,5,Наиболее эффективно МРР системы решают задачи связанные с: ,управлением объектами;обработкой больших матричных массивов;высокоскоростной обработкой изображений;обработкой рекурсивных вычислений;сильносвязными алгоритмами;,no,2;3;,5,8,0
78,1,9,"Укажите системы, имеющие матричную архитектуру: ",Cray 1;Cray 90;VP 200;T9000;Ultra SPARC;ПС-2000;MPP;DAP 610;CM-1;,no,3;6;7;8;9;,7,5,0
79,2,5,Основное отличие матричной системы  :,"структура включает скалярный и векторный процессоры, которые могут работать параллельно;в матричных системах данные в памяти выбираются по содержимому, а не по адресам;в матричной системе реализовано несколько операционных конвейеров.;реализуется матрицей ПЭ,  объединенных прямыми регулярными связями;наличие управляющей (интерфейсной) ЭВМ;",no,1:0;2:0;3:0;4:100;5:25;,4,5,0
80,2,4,Классическую МРР-систему в соответствии с классификацией Флина относят к классу:,ОКОД;ОКМД;МКМД;МКОД.;,no,1:0;2:0;3:100;4:0;,4,8,0
81,2,4,В общем случае  Кластерная вычислительная система  это: ,"множество процессоров обьединенных внутренней сетью коммутации, работающих под управлением одного процессора;множество рабочих станций, обьединенных сетью;ВС, состящая из специализированных ЭВМ;слабосвязная многомашинная ВС с общими ВЗУ и единым механизмом управления;",no,1:0;2:50;3:0;4:100;,5,9,0
83,2,5,Основным недостатком кластерных систем является: ,низкий коэффициент готовности;низкая пропускная способность;сложность обслуживания системы;невозможность масштабирования структуры;низкая скорость передачи сообщений;,no,1:0;2:0;3:0;4:0;5:100;,5,9,0
84,2,5,Первый NUMA компьютер появился в ... ,в 2003-ем году;конце 60-ых;конце 80-ых;начале 90-ых;конце 70-ых;,no,1:0;2:0;3:0;4:0;5:100;,5,7,0
82,1,10,Ячейка компьютера SUPERDOME содержит: ,процессор RA - 8700;8 процессоров RA - 8700;4 банка памяти;банк памяти;4 процессора RA - 8700;2 банка памяти;контроллер ввода/вывода;контроллер ячейки;8 банков памяти.;2 процессора RA - 8700.;,13.bmp,5;6;7;8;,6,7,0
83,2,6,"Приведенная на рисунке схема, более подробно классифицирует тип систем МКМД. Данная класиффикация предложена",М.Флином;В.Хендлером;Т.Фенгом;Л.Шнайдером;Д.Скилликорном;Р.Хокни;,14.bmp,1:0;2:0;3:0;4:0;5:0;6:100;,4,3,1
119,2,6,В соответствии с классификацией Л.Шнайдера к какому классу относятся однопроцессорные машины Фон-неймовского типа ,IssDsc;IssDsm;IssDmm;IscDcc;ImmDmm;IssDss;,no,1:0;2:0;3:0;4:0;5:0;6:100;,14,5,1
85,2,6,Укажите общую формулу расчета коэффициента снижения пропускной способности конвейера ( f – доля скалярных операций в программе),d=(r-1)*f+1;d=r*f/(1-f);d=f*(1-f)/r;d=(1-f)*r+f;d=f*f*r-1;d=r*f+(1-f);,no,1:0;2:0;3:0;4:0;5:0;6:100;,5,4,0
89,4,6,"Векторно-конвейерные системы подразумевают применение многоуровневой конвейеризации на всех этапах, которые проходит команда в процессе выполнения. В правильной последовательности расставьте этапы выполнения конвейера",Вызов;Декодирование;Подготовка параметров;Проверка на безконфликтность и выдача команды;Настройка конвейера;Выполнение в конвейерном режиме;,15.bmp,123456,6,4,0
90,1,7,К векторно-конвейерным системам относятся: ,ccNUMA;HEP;HP Superdome;MP 1200.;CYBER 205;SPARCserver 1000.;Cray С90;,no,5;6;7;,5,4,0
91,2,5,"Для повышения производительности ВКС применяют межстадийную буферизацию, которая позволяет определять пропускную способность конвейера ... ",средним временем задержки всех ступеней конвейера;максимальным временем задержки самой медленной ступени конвейера;минимальным временем задержки самой медленной ступени конвейера;максимальным временем задержки самой быстрой ступени конвейера;средним временем задержки самой медленной ступени конвейера;,no,1:100;2:0;3:0;4:0;5:0;,5,4,0
89,2,4,Для векторно-конвейерных систем величина  L(1/2 ) -  это...,"половина длины максимального вектора;половина еффективности конвейера, загруженного вектором длиной L;половина max интенсивности входного потока заявок;длина вектора, при которой достигается половина max произв-сти конвейера;",no,1:0;2:0;3:0;4:100;,4,4,0
90,2,6,Вычислительная система  Cray T3D/T3E имеет ...,звездообразную топологию;матричную топологию;кольцевую топологию;топологию двоичного дерева;тороидальную топологию;топологию n-мерного гиперкуба.;,no,1:0;2:0;3:0;4:0;5:100;6:0;,4,19,0
94,1,7,Cray T3D/T3E имеет в своем составе,узлы пользователя;узлы пересылки команд;узлы пересылки данных;узлы синхронизации;управяющие узлы;узлы ОС;вычислительные узлы;,no,5;6;7;,6,15,1
95,2,5,Ассоциативные системы наиболее эффективны для: ,операций над числами с плавающей запятой;задач моделирования;выполнения арифметических операций над целыми числами;обработки символов;работы с графикой.;,no,1:0;2:0;3:0;4:100;5:0;,6,5,0
96,2,5,К ассоциативным системам относят: ,Cray 1;CYBER 205;ПС 2000;STARAN;HEP.;,no,1:0;2:0;3:0;4:100;5:0;,5,5,0
94,2,6,"Модели, эмулирующие вычисления  в многопроцессорных  ВК в форме взаимодействия систем массового обслуживания,  называются ...",системами массового обслуживания;мультиплексными каналами;сетями Маркова;сетями массового обслуживания;стохастическими сетями;селекторными каналами.;,no,1:0;2:0;3:0;4:50;5:100;6:0;,4,1,0
98,2,5,"Назвите ВС, в которой реализована аппаратная поддержка барьерной синхронизации паралельных вычислений . ",Cray 1;Cray 90;T 9000;Cray T3D/T3E;STARAN.;,no,1:0;2:0;3:0;4:100;5:0;,6,21,1
99,1,6,Что из приведённого ниже списка является метриками векторно-конвейерных процессоров,оптимальность;ускорение;эффективность;производительность;надёжность;пропускная способность;,no,2;3;4;6;,6,17,1
100,3,0,"Назовите тип конвейера, изображённый на рисунке",нелинейный;нелинейный конвейер;,133.bmp,0,4,4,0
101,1,4,Назовите способы n-кратного увеличения темпа работы конвейера,"включение в состав процессора n-конвейеров, работающих с перекрытием;включение в состав процессора n- конвейеров;суперконвейеризацией;разбиением каждой ступени конвейера на n ""подступененй"" при одновременном повышениии тактовой частоты внутри конвейера также в n раз;",no,1;3;4;,8,17,1
99,1,7,Назовите классические для современной теории паралельных вычислений уровни параллелизма,уровень заданий;уровень задач;уровень команд;уровень битов;уровень программ;уровень программиста;уровень процедур;,no,1;2;3;4;7;,6,2,0
100,2,5,"Формула, отражающая зависимость ускорения вычислений, достигаемого на многопроцессорной ВС, от числа процессоров и соотношения между последовательной и параллельной частями прграммы, получила название",закон Амдала;Уравнение Эффективности;закон Гроша;Уравнение Параллелизма;Закон Воеводина;,no,1:100;2:0;3:0;4:0;5:0;,5,1,0
104,3,0,Классификация параллельных ВС в зависимости от соотношения потоков команд и потоков данных называется классификацией ....,флина;флинна;классификацией флинна;классификацией флина;Флинна;М. Флинна;,no,0,4,3,0
105,1,6,Представителями класса SISD являются,векторные ВС;однопроцессорные ВС;CDC-7600;CDC-6600;матричные ВС;МРР-системы;,no,2;3;4;5;,4,3,0
106,2,4,Некоторые авторы считают этот класс по классификации Флинна пустым,SISD;MISD;SIMD;MIMD;,no,1:0;2:100;3:0;4:0;,5,3,0
107,1,6,Представителями класса SIMD являются,матрицы процессоров;фон-неймановские ВМ;МРР-системы;Кластерные ВС;серверы;ассоциативные ВС;,no,1;6;,5,3,0
108,2,6,Системы с распределённой памятью иногда называют ...,сильносвязными;слабосвязными;разделенными;виртуальльными;систолическими;гранулярными;,no,1:0;2:100;3:0;4:0;5:0;6:0;,6,8,0
109,2,7,Системы с однородным доступом к памяти обозначаются оббревиатурой,NUMA;UMA;COMA;UFO;LIFO;ccNUMA;MPP;,no,1:0;2:100;3:0;4:0;5:0;6:0;7:0;,5,7,0
110,1,6,Недостатками UMA - систем являются ...,плохая масштабируемость;низкая готовность;трудности коммутации между процессорами;сложность программирования;большое время доступа к памяти;конфликты по доступу к памяти;,no,1;2;6;,5,7,0
108,1,7,"Укажиет методы, аппаратного обеспечения когерентности данных",обратная запись;запись с трансляцией;сквозная запись;запись с транслированием;удаление общих данных;запись с обновлением;запись с аннулированием;,no,2;3;6;7;,6,7,0
109,2,6,"Назовите тип коммутирующих сетей, который позволяет устранить блокировку сообщений с помощью перенастройки коммутаторов в процессе вычислений ",сети с динамической топологией;сети со статической топлогией;Баттерфляй;полносвязная топология;блокирующие сети;Баньян-сети;,no,1:100;2:0;3:0;4:0;5:0;6:0;,6,20,0
148,3,0,"Узел сети может быть терминальным, т.е источником или приёмником данных и .... , пересылающим информацию с входного порта на выходной",коммутатором;комутатором;коммутирующим;комутирующим;,no,0,5,20,0
